,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Kodiak,20,US,1570217734,66,39.95,-94.76,59.0,5.82
1,Zhezkazgan,0,KZ,1570218007,26,47.8,67.71,46.4,11.18
2,Katsuura,40,JP,1570218009,88,33.93,134.5,66.2,6.93
3,Igrim,60,RU,1570218009,83,63.19,64.42,31.95,0.76
4,Idrinskoye,100,RU,1570218010,82,54.37,92.14,33.05,2.86
5,Horsham,100,AU,1570218010,84,-36.71,142.2,49.26,6.24
6,Ushuaia,75,AR,1570217942,82,-54.81,-68.31,37.4,29.97
7,Atuona,0,PF,1570218010,72,-9.8,-139.03,80.3,17.81
8,San Patricio,95,PY,1570218011,83,-26.98,-56.83,71.4,7.74
9,Saint-Philippe,75,CA,1570218011,49,45.36,-73.48,53.01,12.75
10,Saint Anthony,90,US,1570218011,70,43.97,-111.68,42.8,23.04
11,Pevek,100,RU,1570217735,73,69.7,170.27,31.95,25.55
12,Yerbogachen,100,RU,1570218012,92,61.28,108.01,38.93,9.57
13,Deputatskiy,100,RU,1570218013,89,69.3,139.9,15.89,19.01
14,Hithadhoo,97,MV,1570217735,71,-0.6,73.08,81.79,9.89
15,Port Alfred,19,ZA,1570218013,86,-33.59,26.89,59.0,3.0
16,Punta Arenas,40,CL,1570217731,42,-53.16,-70.91,46.4,29.97
17,Kirakira,100,SB,1570218014,80,-10.46,161.92,79.16,2.44
18,Juarez,0,AR,1570218014,36,-38.95,-67.92,62.6,6.93
19,Aklavik,40,CA,1570218015,63,68.22,-135.01,39.2,2.24
20,Ancud,75,CL,1570218015,87,-41.87,-73.83,48.2,5.82
21,Mihai Viteazu,59,RO,1570218015,93,46.16,25.03,48.2,1.48
22,Sompeta,3,IN,1570218015,83,18.93,84.6,75.06,2.75
23,Avarua,73,CK,1570218016,78,-21.21,-159.78,77.0,10.29
24,Leningradskiy,100,RU,1570218016,95,69.38,178.42,37.37,12.55
25,Tessalit,0,ML,1570218016,9,20.2,1.01,90.0,11.95
26,Hobart,0,AU,1570217596,86,-42.88,147.33,39.0,12.75
27,Rikitea,96,PF,1570218017,78,-23.12,-134.97,70.11,20.4
28,Cabo San Lucas,20,MX,1570217809,58,22.89,-109.91,90.0,3.36
29,Aragarcas,49,BR,1570218017,35,-15.9,-52.25,92.14,6.08
30,Hermanus,0,ZA,1570217734,90,-34.42,19.24,59.0,1.01
31,Mahebourg,40,MU,1570218018,100,-20.41,57.7,73.4,12.75
32,Palestine,40,US,1570218018,46,31.76,-95.63,91.99,5.82
33,Busselton,35,AU,1570218018,98,-33.64,115.35,55.99,24.32
34,Luderitz,0,NA,1570218018,82,-26.65,15.16,59.0,18.34
35,Nikolskoye,75,RU,1570218019,80,59.7,30.79,36.0,8.95
36,Albany,75,US,1570217734,54,42.65,-73.75,57.2,11.41
37,Kruisfontein,18,ZA,1570218019,87,-34.0,24.73,54.12,6.26
38,Butaritari,100,KI,1570218020,86,3.07,172.79,77.29,4.68
39,Cayenne,40,GF,1570218020,59,4.94,-52.33,89.6,10.29
40,Mataura,48,NZ,1570218020,72,-46.19,168.86,46.0,11.99
41,Cape Town,0,ZA,1570218021,87,-33.93,18.42,61.0,5.82
42,Kota Kinabalu,75,MY,1570218021,94,5.98,116.07,73.4,3.36
43,Tiksi,100,RU,1570218022,87,71.64,128.87,20.93,26.37
44,Mount Isa,19,AU,1570218022,18,-20.73,139.49,73.4,4.7
45,Humacao,75,PR,1570217887,70,18.15,-65.83,88.0,10.29
46,Oussouye,40,SN,1570218023,49,12.49,-16.54,93.2,4.7
47,Tilichiki,80,RU,1570218023,60,60.47,166.1,29.01,3.13
48,Ganzhou,0,CN,1570218023,53,25.86,114.93,72.72,1.66
49,Quang Ngai,100,VN,1570218024,98,15.12,108.8,68.42,1.66
50,Pombas,80,BR,1570218024,64,-15.9,-54.74,80.89,5.88
51,Saskylakh,0,RU,1570218024,84,71.97,114.09,13.03,5.93
52,Victoria,75,BN,1570218025,88,5.28,115.24,77.0,1.12
53,Bethel,90,US,1570217760,81,60.79,-161.76,44.6,14.99
54,Piacabucu,0,BR,1570218025,75,-10.41,-36.43,76.01,10.78
55,Kapaa,90,US,1570217729,83,22.08,-159.32,80.6,16.11
56,Yulara,0,AU,1570218026,19,-25.24,130.99,60.8,3.36
57,Pisco,4,PE,1570218026,30,-13.71,-76.2,71.6,23.04
58,Vardo,75,US,1570218026,40,39.62,-77.74,75.2,16.11
59,Souillac,0,FR,1570218027,87,45.6,-0.6,60.01,6.93
60,Bakel,24,SN,1570218027,43,14.9,-12.46,91.35,8.46
61,Bredasdorp,0,ZA,1570218027,67,-34.53,20.04,57.2,2.24
62,Lorengau,100,PG,1570218028,84,-2.02,147.27,78.33,3.27
